S. No.,River,As,Cd,Ni,Fe,Pb,Zn,Toxicity
1,Parwati,0.896,0.083,2.07,0.048,2.386,0.008,0
2,Chittar,1.47,0.483,6.098,0.029,1.062,0.008,0
3,Barak,2.899,0.087,1.282,0.06,1.544,0.015,1
4,Yamuna,5.13,0.217,4.345,0.098,2.091,0.02,1
5,Banas,2.27,0.197,2.684,0.082,1.668,0.011,1
6,Gurupur,2.86,0.184,3.41,0.392,0.68,0.008,1
7,Kharkai,3.835,0.415,6.507,0.135,3.281,0.011,1
8,Yamuna,4.056,0.189,5.275,0.194,4.293,0.108,1
9,Aie,1.73,0.119,1.847,0.339,2.131,0.226,1
10,Sarju,3.038,0.173,1.569,0.162,9.397,0.02,1
11,Chenab,2.142,0.068,1.934,0.078,1.234,0.009,0
12,Hemavathi,2.103,0.044,2.579,0.042,1.227,0.009,1
13,Parwan,1.828,0.183,2.815,0.035,1.604,0.008,0
14,Kunderu,2.779,0.184,4.027,0.061,6.625,0.044,1
15,Ganga,3.163,0.188,3.413,0.155,2.168,0.019,1
16,Ramyala,1.27,0.463,1.158,0.221,0.932,0.009,1
17,Aliyar,2.963,0.279,2.7,0.109,2.982,0.015,1
18,Vaigai,3.85,0.281,3.68,0.023,0.855,0.004,0
19,Ganga,1.142,0.322,3.372,0.157,2.481,0.011,1
20,Hamp,5.21,0.118,4.247,0.026,0.996,0.012,1
21,Ganga,4.923,0.503,3.89,0.283,4.2,0.016,1
22,Nattar,2.3,0.248,0.36,0.005,0.15,0.004,0
23,Chalakudy,4.83,0.066,2.57,0.051,1.953,0.008,0
24,Palar,0.67,0.1,0.62,0.029,26.415,0.007,1
25,Krishna,2.54,0.02,2.4,0.396,4.92,0.007,1
26,Pazhayar,3.743,0.035,5.248,0.17,1.965,0.009,1
27,Wainganga,2.098,0.233,2.099,0.104,1.466,0.006,1
28,Palar,4.7,0.091,7.17,0.013,1.96,0.004,1
29,Sita,1.29,0.1,0.588,0.091,1.638,0.006,1
30,Vamanapuram,5.363,0.037,1.685,0.133,1.296,0.008,1
31,Saryu,2.286,0.624,9.638,0.33,4.578,0.016,1
32,Ganga,3.872,0.161,2.094,0.317,3.253,0.016,1
33,Barak,2.864,0.102,1.804,0.128,2.82,0.01,1
34,Subansiri,2.978,0.147,2.398,0.291,2.635,0.013,1
35,Ulhas,3.143,0.981,2.68,0.048,4.034,0.008,1
36,Rapti,2.486,0.546,3.753,0.26,3.791,0.015,1
37,Kosi,3.283,0.408,3.24,0.714,2.043,0.01,1
38,Banjar,1.067,0.151,2.471,0.375,2.083,0.022,1
39,Wardha,2.766,0.457,5.475,0.109,2.615,0.007,1
40,Hasdeo,8.67,0.1,9.363,0.033,3.657,0.011,1
41,Ken,3.469,0.634,4.991,0.11,1.987,0.02,1
42,Rapti,2.069,0.922,2.726,0.484,3.739,0.014,1
43,Nethravathi,2.445,0.076,4.455,0.263,1.409,0.008,1
44,Banas,1.502,0.16,4.787,0.07,2.932,0.01,1
45,Ramganga,2.823,0.343,3.598,0.239,4.089,0.015,1
46,Narmada,2.156,0.114,17.587,0.374,1.317,0.014,1
47,Raidak-II,3.61,0.076,2.98,0.315,2.634,0.022,1
48,Sindh,1.466,0.126,3.714,0.042,2.498,0.009,0
49,Pairi,2.2,0.582,1.05,0.046,0.01,0.002,1
50,Mahanadi,4.07,0.259,18.255,0.038,3.049,0.027,0
51,Kwano,3.66,0.435,4.153,0.481,5.345,0.027,1
52,Tungabhadra,2.25,2.334,17.717,0.044,12.24,0.014,1
53,Champamati,6.24,0.189,1.305,0.362,1.967,0.042,1
54,Beki,2.4,0.09,1.055,0.266,2.57,0.024,1
55,Beki,4.513,0.117,3.333,0.338,3.425,0.311,1
56,Sher,2.884,0.188,2.668,0.116,2.052,0.013,1
57,Gad,2.185,0.16,0.48,0.121,2.535,0.009,1
58,Suvarnavathi,2.3,0.058,1.83,0.014,0.04,0.007,0
59,Bhagirathi,2.532,0.126,1.534,0.036,0.814,0.004,1
60,Godavari,3.392,0.234,5.987,0.135,1.637,0.026,1
61,Jiabharali,2.214,0.064,11.542,1.277,1.631,0.024,1
62,Peddavagu,2.686,0.194,5.646,0.087,2.345,0.008,0
63,Ganga,5.801,0.471,3.463,0.337,8.056,0.029,1
64,Brahmaputra,2.002,0.072,2.208,1.583,2.153,0.025,1
65,Dikhow,2.091,0.111,6.421,1.818,3.349,0.034,1
66,Cauvery,2.154,0.089,5.446,0.078,2.829,0.01,1
67,Rapti,2.746,0.563,2.909,0.333,6.34,0.021,1
68,Dhansiri,1.954,0.095,3.047,2.089,1.324,0.017,1
69,Tapi,1.23,0.399,3.396,0.315,3.505,0.019,1
70,Ganga,4.633,0.137,2.581,0.233,3.53,0.015,1
71,Haridra,2.145,0.103,2.623,0.027,0.393,0.004,0
